Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Bugasura Issues),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
Homepage,AV-23,10022,Epic,To Do,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:08 PM,18/Oct/22 12:08 PM,23/Feb/23 11:17 AM,,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003v:,,,,,,,,,,,,,,,,,To Do
Product,AV-22,10021,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000d:,,Flipkart Sprint 1,,,,,,,,,,,,,10024,Product,Done
Compare and Share,AV-21,10020,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:54 PM,23/Feb/23 11:41 AM,18/Oct/22 12:54 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002f:,,Flipkart Sprint 2,,,,,,,,,,,,,10024,Product,Done
Credit/Debit Card,AV-20,10019,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000f:i,,Flipkart Sprint 1,,,,,,,,,,,,,10025,Payment,Done
Order->Search Order,AV-18,10017,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000f:,,Flipkart Sprint 1,,,,,,,,,,,,,10026,Order,Done
Buy Now,AV-17,10016,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000e:,,Flipkart Sprint 1,,,,,,,,,,,,,10024,Product,Done
My Cart,AV-16,10015,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00006:v4,,Flipkart Sprint 1,,,,,,,,,,,,,10026,Order,Done
COD,AV-15,10014,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00006:vi,,Flipkart Sprint 1,,,,,,,,,,,,,10025,Payment,Done
Payment,AV-14,10013,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00006:v9,,Flipkart Sprint 1,,,,,,,,,,,,,10025,Payment,Done
Add to Cart,AV-13,10012,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00006:w,,Flipkart Sprint 1,,,,,,,,,,,,,10024,Product,Done
Netbanking,AV-12,10011,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:54 PM,23/Feb/23 11:41 AM,18/Oct/22 12:54 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002k:,,Flipkart Sprint 2,,,,,,,,,,,,,10025,Payment,Done
Wallet,AV-11,10010,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:01 PM,18/Oct/22 12:54 PM,23/Feb/23 11:41 AM,18/Oct/22 12:54 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002b:,,Flipkart Sprint 2,,,,,,,,,,,,,10025,Payment,Done
Become a seller,AV-10,10009,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:00 PM,18/Oct/22 12:54 PM,23/Feb/23 11:41 AM,18/Oct/22 12:54 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000r:,,Flipkart Sprint 2,,,,,,,,,,,,,10022,Homepage,Done
Mobile,AV-9,10008,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:00 PM,18/Oct/22 12:55 PM,23/Feb/23 11:41 AM,18/Oct/22 12:55 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004j:9,,Flipkart Sprint 3,,,,,,,,,,,,,10022,Homepage,Done
Grocery,AV-8,10007,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:00 PM,18/Oct/22 12:57 PM,23/Feb/23 11:41 AM,18/Oct/22 12:57 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004j:i,,Flipkart Sprint 4,,,,,,,,,,,,,10022,Homepage,Done
Top offers,AV-7,10006,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 12:00 PM,18/Oct/22 12:57 PM,23/Feb/23 11:41 AM,18/Oct/22 12:57 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004k:,,Flipkart Sprint 4,,,,,,,,,,,,,10022,Homepage,Done
cart,AV-6,10005,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 11:59 AM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00006:x,,Flipkart Sprint 1,,,,,,,,,,,,,10022,Homepage,Done
more,AV-5,10004,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 11:59 AM,18/Oct/22 12:56 PM,23/Feb/23 11:41 AM,18/Oct/22 12:56 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004j:a,,Flipkart Sprint 3,,,,,,,,,,,,,10022,Homepage,Done
Logout,AV-4,10003,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 11:58 AM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000b:,,Flipkart Sprint 1,,,,,,,,,,,,,10022,Homepage,Done
Login,AV-3,10002,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 11:58 AM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00006:v,,Flipkart Sprint 1,,,,,,,,,,,,,10022,Homepage,Done
Search bar,AV-2,10001,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 11:58 AM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00007:,,Flipkart Sprint 1,,,,,,,,,,,,,10022,Homepage,Done
Homepage,AV-1,10000,Story,Ready For Release,AV,Aditya Vadlamani,software,Aditya Vadlamani,634e3affa04e906250c53f39,,Medium,Done,,,Aditya Vadlamani,634e3affa04e906250c53f39,Aditya Vadlamani,634e3affa04e906250c53f39,18/Oct/22 11:58 AM,18/Oct/22 12:50 PM,23/Feb/23 11:41 AM,18/Oct/22 12:50 PM,,0,,,,,Aditya Vadlamani,634e3affa04e906250c53f39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00006:r,,Flipkart Sprint 1,,,,,,,,,,,,,10022,Homepage,Done
